ID,ModuleTitle,CompositeName,ModuleSize,ModuleCategory,AnnotationLevel,ModuleMemberGenes
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,KDR
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGB3
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL5A2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL5A1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL4A2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL4A1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,LAMC1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,FN1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,CCND2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,ITGAV
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,MET
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL1A2
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL1A1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL6A1
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL6A3
M1.0,integrin cell surface interactions (I),integrin cell surface interactions (I) (M1.0),29,molecular function,partial,COL6A2
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,LAMC1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,TNC
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,FN1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,FBN1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,COL4A5
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,COL1A2
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,COL4A2
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,COL4A1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,COL1A1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,LAMB1
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,VWF
M1.1,integrin cell surface interactions (II),integrin cell surface interactions (II) (M1.1),12,molecular function,partial,LAMB2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MAP4K1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,STMN1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,ERBB2IP
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,RFC1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,TLE4
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,EZH2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,FBXO5
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,GMNN
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,ARID4A
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,ARHGAP6
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,KIAA0101
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,CDC6
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,DCK
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MEIS2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,SFRS1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,WEE1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,RANBP1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,PCNA
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,NR3C2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,ZNF367
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,HMGA1
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MCM6
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MCM4
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MCM2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,UNG
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,OSBPL7
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,HIST1H2BK
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,E2F7
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,ATAD2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,MELK
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,POLE2
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,RAD51
M10.0,E2F1 targets (Q3),E2F1 targets (Q3) (M10.0),33,TF targets,complete,HOXA9
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,E2F7
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,PCNA
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,NASP
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,POLE2
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,SKP2
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,ERBB2IP
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,SLBP
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,POLA2
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,KNTC1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,PKMYT1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,MELK
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,MCM4
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,PRIM1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,FBXO5
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,RAD51
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,CIT
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,STMN1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,WEE1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,RANBP1
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,CDC6
M10.1,E2F1 targets (Q4),E2F1 targets (Q4) (M10.1),21,TF targets,complete,DCLRE1A
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,MAP4K1
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,RASGRP2
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,RAC2
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,RASGRP4
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,AKT1
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,TGFB1
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,MAP2K2
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,MAP3K11
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,ARRB2
M100,"MAPK, RAS signaling","MAPK, RAS signaling (M100)",10,signaling,partial,FLNA
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,PHTF2
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,AGL
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,C6orf211
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,PIKFYVE
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,SP3
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,IMPA1
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,PIK3C2A
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,DEK
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,SYNJ1
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,PPP1R12A
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,CLK1
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,PIK3C3
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,EFHA1
M101,phosphatidylinositol signaling system,phosphatidylinositol signaling system (M101),14,signaling,complete,SLC35A1
M102,TBA,TBA (M102),12,,,AMOTL2
M102,TBA,TBA (M102),12,,,GHR
M102,TBA,TBA (M102),12,,,P2RX5
M102,TBA,TBA (M102),12,,,BTLA
M102,TBA,TBA (M102),12,,,CHRDL1
M102,TBA,TBA (M102),12,,,ELTD1
M102,TBA,TBA (M102),12,,,GNG12
M102,TBA,TBA (M102),12,,,SMAD1
M102,TBA,TBA (M102),12,,,STAP1
M102,TBA,TBA (M102),12,,,PNOC
M102,TBA,TBA (M102),12,,,CAV2
M102,TBA,TBA (M102),12,,,CD79A
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,SMC1A
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,HDAC2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,BUB1B
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,PLK1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDKN1B
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDKN1A
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,PKMYT1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MAD2L1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,ATR
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC6
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC7
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CCNA2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CCNE2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,SMC3
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CCNE1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,ANAPC10
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,TTK
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,ESPL1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,DBF4
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,WEE1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CHEK2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CHEK1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,PCNA
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDKN2C
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDKN2A
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,BUB1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,RBL1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,RBL2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,RAD21
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC25C
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC25A
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,E2F5
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM7
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM6
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM5
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM4
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM3
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,MCM2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,PTTG1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,SKP2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CCNB2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CCNB1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,E2F2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,E2F1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC23
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC20
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDK1
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDK2
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDK4
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,CDC45
M103,cell cycle (III),cell cycle (III) (M103),51,biological process,complete,TFDP1
M104,TBA,TBA (M104),10,,,PDGFRA
M104,TBA,TBA (M104),10,,,ZNF423
M104,TBA,TBA (M104),10,,,MGLL
M104,TBA,TBA (M104),10,,,GNAZ
M104,TBA,TBA (M104),10,,,FSTL1
M104,TBA,TBA (M104),10,,,MEF2C
M104,TBA,TBA (M104),10,,,JUP
M104,TBA,TBA (M104),10,,,MLLT3
M104,TBA,TBA (M104),10,,,CRIM1
M104,TBA,TBA (M104),10,,,PF4
M105,TBA,TBA (M105),18,,,CDKN2C
M105,TBA,TBA (M105),18,,,H1F0
M105,TBA,TBA (M105),18,,,BEX1
M105,TBA,TBA (M105),18,,,PROK2
M105,TBA,TBA (M105),18,,,BPI
M105,TBA,TBA (M105),18,,,CA2
M105,TBA,TBA (M105),18,,,PTX3
M105,TBA,TBA (M105),18,,,RETN
M105,TBA,TBA (M105),18,,,CLEC11A
M105,TBA,TBA (M105),18,,,SLC22A4
M105,TBA,TBA (M105),18,,,MGST1
M105,TBA,TBA (M105),18,,,LPCAT2
M105,TBA,TBA (M105),18,,,IGFBP7
M105,TBA,TBA (M105),18,,,CPNE2
M105,TBA,TBA (M105),18,,,IRAK3
M105,TBA,TBA (M105),18,,,JAG1
M105,TBA,TBA (M105),18,,,VSTM1
M105,TBA,TBA (M105),18,,,BTBD3
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP88
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,XPO1
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP62
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUPL2
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP133
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP107
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,RAN
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP160
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP54
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP35
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP85
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP37
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP43
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP155
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,SEH1L
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,RANBP1
M106.0,nuclear pore complex,nuclear pore complex (M106.0),17,molecular function,complete,NUP205
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,SMC1A
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,SLBP
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,SEH1L
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP133
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP107
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,GTF2H1
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP85
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP37
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP43
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,CCNH
M106.1,nuclear pore complex (mitosis),nuclear pore complex (mitosis) (M106.1),11,molecular function,complete,NUP160
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXB9
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXB2
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXB3
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXB6
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA10
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA6
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA4
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA3
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA2
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,C10orf140
M107,Hox cluster VI,Hox cluster VI (M107),11,molecular function,complete,HOXA9
M108,TBA,TBA (M108),11,,,EPHB2
M108,TBA,TBA (M108),11,,,MUC3B
M108,TBA,TBA (M108),11,,,AXIN2
M108,TBA,TBA (M108),11,,,GPX2
M108,TBA,TBA (M108),11,,,ASCL2
M108,TBA,TBA (M108),11,,,RNF43
M108,TBA,TBA (M108),11,,,EHF
M108,TBA,TBA (M108),11,,,C19orf21
M108,TBA,TBA (M108),11,,,CEACAM5
M108,TBA,TBA (M108),11,,,CDCA7
M108,TBA,TBA (M108),11,,,TSPAN8
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,TGFBR3
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,NCKAP1L
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,LRRK2
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,C3AR1
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,S1PR1
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,SYNE2
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,IL6R
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,CCR1
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,CCR2
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,CORO1A
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,TRIB1
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,CCR7
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,LEF1
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,GATA3
M109,"receptors, cell migration","receptors, cell migration (M109)",15,molecular function,partial,BCL2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FXYD6
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,KCNE3
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FAM198B
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,HSPA6
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,LAT2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,CD33
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,TIMP2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,CD36
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,TNFSF12-TNFSF13
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,C5AR1
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,1-Mar
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FCGR1B
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FCGR1A
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,SLC15A3
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,S100A11
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,MS4A7
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,MAFB
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,S100A12
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,CPPED1
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,TYROBP
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FGR
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,PLA2G7
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,IRAK3
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,LYN
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,PYGL
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,SIRPA
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FCAR
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,CRISPLD2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,RNASE2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,TBXAS1
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,PLBD1
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,HK3
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,FPR2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,NOD2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,IFI30
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,AQP9
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,IMPA2
M11.0,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,LRP1
